station_id,count
JC105,37
JC008,298
JC103,68
JC032,119
JC018,34
JC098,110
JC099,93
JC096,37
JC013,233
JC072,89
JC084,38
JC075,74
JC020,79
JC052,130
JC024,53
JC059,17
JC077,59
JC056,229
JC055,135
JC063,10
JC104,164
JC002,82
JC006,167
JC051,9
JC094,50
JC095,34
JC022,47
JC019,48
JC074,85
JC011,160
JC066,206
JC078,59
JC023,92
JC081,85
JC009,271
JC065,18
JC057,22
JC093,70
JC005,283
JC102,108
JC034,43
JC106,157
JC035,88
JC080,20
JC038,58
JC053,64
JC082,87
JC076,49
JC003,139
JC027,74
JC014,100
