station_id,count
JC105,19
JC008,297
JC103,76
JC032,112
JC018,40
JC098,114
JC099,92
JC096,35
JC013,225
JC072,91
JC084,50
JC075,74
JC020,88
JC052,133
JC024,54
JC059,14
JC077,55
JC056,232
JC055,137
JC063,12
JC104,172
JC002,71
JC006,168
JC051,13
JC094,45
JC095,44
JC022,37
JC019,48
JC074,94
JC011,170
JC066,211
JC078,59
JC023,95
JC081,99
JC009,268
JC065,24
JC057,20
JC093,80
JC005,281
JC102,105
JC034,39
JC106,155
JC035,83
JC080,21
JC038,46
JC053,54
JC082,85
JC076,54
JC003,138
JC027,75
JC014,101
